user_id,city,trip_ct,is_winter,is_night,one_way,duration
662,OMA,2,0.0,0.5,1.0,52.5
663,OMA,1,0.0,0.0,1.0,78.0
664,OMA,1,0.0,0.0,1.0,57.0
665,OMA,4,0.0,0.5,1.0,25.25
669,OMA,4,0.0,0.0,0.5,74.5
671,OMA,1,0.0,0.0,1.0,20.0
675,OMA,1,0.0,0.0,1.0,45.0
676,OMA,1,0.0,0.0,1.0,73.0
677,OMA,1,0.0,0.0,1.0,76.0
680,OMA,1,0.0,0.0,1.0,56.0
681,OMA,1,0.0,0.0,1.0,42.0
682,OMA,3,0.0,0.0,0.3333333333333333,63.666666666666664
685,OMA,1,0.0,0.0,1.0,53.0
686,OMA,2,0.0,0.0,1.0,77.0
692,OMA,1,0.0,0.0,1.0,43.0
693,OMA,1,0.0,0.0,1.0,53.0
694,OMA,2,0.0,0.0,1.0,47.0
698,OMA,2,0.0,0.0,1.0,59.5
700,OMA,1,0.0,0.0,1.0,62.0
701,OMA,2,0.0,0.0,1.0,34.5
703,OMA,3,0.0,0.0,1.0,50.666666666666664
708,OMA,1,0.0,0.0,1.0,45.0
711,OMA,2,0.0,0.0,1.0,40.5
713,OMA,2,0.0,1.0,1.0,68.5
715,OMA,2,0.0,0.0,1.0,65.0
720,OMA,4,0.0,0.5,0.75,44.0
725,OMA,3,0.0,0.0,0.3333333333333333,35.333333333333336
726,OMA,2,0.0,0.0,1.0,92.5
728,OMA,1,0.0,0.0,1.0,52.0
729,OMA,3,0.0,0.0,1.0,25.333333333333332
730,OMA,1,0.0,0.0,1.0,50.0
731,OMA,2,0.0,0.0,1.0,55.5
733,OMA,1,0.0,0.0,1.0,49.0
734,OMA,4,0.0,0.0,1.0,36.75
735,OMA,4,0.0,0.0,0.75,61.5
739,OMA,2,0.0,0.0,0.5,47.0
741,OMA,25,0.0,0.0,0.0,20.12
742,OMA,4,0.0,0.0,0.25,33.25
743,OMA,1,0.0,0.0,1.0,57.0
744,OMA,41,0.024390243902439025,0.21951219512195122,0.1951219512195122,17.975609756097562
745,OMA,4,0.0,0.0,0.25,20.5
746,OMA,4,0.0,0.0,0.5,10.5
748,OMA,1,0.0,0.0,1.0,46.0
749,OMA,1,0.0,0.0,1.0,82.0
750,OMA,1,0.0,0.0,1.0,13.0
751,OMA,2,0.0,0.0,1.0,11.5
755,OMA,1,0.0,0.0,1.0,55.0
758,OMA,1,0.0,0.0,1.0,38.0
759,OMA,1,0.0,0.0,1.0,39.0
760,OMA,10,0.0,0.3,0.3,15.7
761,OMA,3,0.0,0.0,0.6666666666666666,48.0
764,OMA,8,0.0,0.25,0.375,28.5
765,OMA,1,0.0,0.0,1.0,33.0
766,OMA,2,0.0,0.0,1.0,51.0
767,OMA,5,0.0,0.4,0.2,13.4
768,OMA,1,0.0,1.0,1.0,45.0
771,OMA,5,0.0,0.0,0.6,37.4
774,OMA,1,0.0,0.0,1.0,28.0
775,OMA,4,0.0,0.0,0.25,24.0
776,OMA,1,0.0,0.0,1.0,35.0
777,OMA,11,0.18181818181818182,0.0,1.0,41.36363636363637
779,OMA,1,0.0,0.0,1.0,2.0
780,OMA,1,0.0,0.0,1.0,80.0
782,OMA,6,0.0,0.0,0.6666666666666666,59.333333333333336
784,OMA,1,0.0,0.0,1.0,19.0
785,OMA,1,0.0,0.0,1.0,29.0
787,OMA,2,0.0,0.0,1.0,33.0
790,OMA,3,0.0,0.0,1.0,52.666666666666664
793,OMA,1,0.0,0.0,1.0,40.0
794,OMA,2,0.0,0.0,0.5,22.0
795,OMA,1,0.0,0.0,1.0,85.0
796,OMA,1,0.0,0.0,1.0,44.0
797,OMA,1,0.0,0.0,1.0,53.0
798,OMA,4,0.0,0.0,1.0,54.5
800,OMA,1,0.0,1.0,1.0,46.0
801,OMA,1,0.0,0.0,1.0,49.0
802,OMA,1,0.0,0.0,1.0,49.0
803,OMA,5,0.0,0.4,0.6,32.4
804,OMA,1,0.0,0.0,1.0,40.0
805,OMA,1,0.0,0.0,1.0,41.0
806,OMA,1,0.0,0.0,1.0,55.0
807,OMA,1,0.0,0.0,1.0,56.0
812,OMA,1,0.0,0.0,1.0,39.0
813,OMA,1,0.0,0.0,1.0,38.0
816,OMA,3,0.6666666666666666,0.0,0.3333333333333333,29.0
817,OMA,4,0.0,1.0,1.0,51.5
818,OMA,9,1.0,0.1111111111111111,0.3333333333333333,37.111111111111114
819,OMA,3,1.0,0.0,1.0,52.0
822,OMA,1,1.0,0.0,1.0,30.0
823,OMA,1,1.0,0.0,1.0,48.0
824,OMA,2,1.0,0.0,0.0,15.5
825,OMA,1,1.0,0.0,1.0,22.0
826,OMA,6,1.0,0.0,1.0,59.5
828,OMA,1,1.0,0.0,1.0,81.0
832,OMA,1,1.0,0.0,1.0,27.0
833,OMA,1,1.0,0.0,1.0,28.0
834,OMA,1,1.0,0.0,1.0,18.0
835,OMA,2,1.0,0.0,1.0,64.5
837,OMA,2,0.0,1.0,1.0,34.5
838,OMA,1,0.0,1.0,1.0,35.0
840,OMA,2,0.5,0.0,1.0,32.0
841,OMA,5,0.0,0.0,0.6,38.6
843,OMA,2,0.0,0.0,1.0,41.0
844,OMA,2,0.0,0.0,1.0,41.5
845,OMA,2,0.0,0.0,1.0,39.0
850,OMA,1,0.0,0.0,1.0,41.0
851,OMA,1,0.0,0.0,1.0,42.0
852,OMA,1,0.0,0.0,1.0,43.0
853,OMA,1,0.0,0.0,1.0,61.0
854,OMA,1,0.0,0.0,1.0,91.0
855,OMA,1,0.0,0.0,1.0,92.0
856,OMA,3,0.0,0.0,0.3333333333333333,14.333333333333334
857,OMA,1,0.0,0.0,1.0,58.0
858,OMA,4,0.0,0.5,0.25,9.25
861,OMA,1,0.0,0.0,1.0,66.0
862,OMA,1,0.0,0.0,1.0,67.0
864,OMA,1,0.0,0.0,1.0,90.0
865,OMA,5,0.0,0.0,1.0,50.8
866,OMA,1,0.0,0.0,1.0,83.0
868,OMA,2,0.0,0.0,1.0,58.5
871,OMA,1,0.0,0.0,1.0,19.0
872,OMA,2,0.0,0.0,1.0,55.5
877,OMA,1,0.0,0.0,1.0,44.0
878,OMA,5,0.0,0.0,0.2,20.6
879,OMA,2,0.0,0.0,1.0,67.5
880,OMA,2,0.0,0.0,1.0,69.0
881,OMA,2,0.0,0.0,1.0,67.5
885,OMA,2,0.0,0.0,1.0,60.0
887,OMA,2,0.0,0.0,1.0,47.0
889,OMA,1,0.0,0.0,1.0,77.0
891,OMA,1,0.0,0.0,0.0,28.0
892,OMA,2,0.0,0.0,1.0,14.5
894,OMA,2,0.0,0.0,1.0,57.5
896,OMA,4,0.0,0.0,0.5,51.0
898,OMA,2,0.0,0.0,1.0,25.0
900,OMA,1,0.0,1.0,1.0,45.0
901,OMA,2,0.0,0.0,1.0,32.5
903,OMA,1,0.0,0.0,1.0,45.0
905,OMA,2,0.0,0.0,1.0,46.5
906,OMA,1,0.0,1.0,1.0,60.0
908,OMA,1,0.0,0.0,1.0,44.0
909,OMA,2,0.0,0.0,1.0,70.0
910,OMA,2,0.0,0.0,1.0,69.5
913,OMA,1,0.0,0.0,1.0,72.0
914,OMA,2,0.0,0.0,1.0,30.0
917,OMA,2,0.0,0.0,0.5,44.5
921,OMA,1,0.0,0.0,1.0,73.0
922,OMA,1,0.0,0.0,1.0,73.0
923,OMA,1,0.0,0.0,1.0,74.0
924,OMA,1,0.0,0.0,1.0,75.0
925,OMA,3,0.0,0.0,1.0,59.666666666666664
928,OMA,1,0.0,0.0,1.0,48.0
929,OMA,1,0.0,0.0,1.0,50.0
930,OMA,1,0.0,0.0,1.0,51.0
931,OMA,2,0.0,0.0,1.0,10.5
933,OMA,12,0.0,0.0,0.0,21.166666666666668
934,OMA,1,0.0,0.0,1.0,56.0
936,OMA,1,0.0,1.0,1.0,50.0
939,OMA,3,0.0,0.6666666666666666,1.0,60.666666666666664
940,OMA,3,0.0,0.0,0.3333333333333333,45.333333333333336
943,OMA,3,0.0,0.0,0.6666666666666666,36.666666666666664
949,OMA,1,0.0,0.0,1.0,51.0
950,OMA,2,0.0,0.0,1.0,48.5
952,OMA,1,0.0,0.0,1.0,50.0
953,OMA,4,0.0,0.0,1.0,52.75
957,OMA,1,0.0,0.0,1.0,70.0
959,OMA,1,0.0,0.0,1.0,74.0
963,OMA,7,0.0,0.14285714285714285,0.7142857142857143,36.714285714285715
965,OMA,1,0.0,0.0,1.0,83.0
966,OMA,1,0.0,0.0,1.0,70.0
967,OMA,1,0.0,0.0,1.0,71.0
968,OMA,1,0.0,0.0,1.0,72.0
969,OMA,1,0.0,0.0,1.0,73.0
971,OMA,1,0.0,0.0,1.0,57.0
972,OMA,1,0.0,0.0,1.0,58.0
973,OMA,1,0.0,0.0,1.0,59.0
974,OMA,1,0.0,0.0,1.0,61.0
